iter	Passed	Remaining
0	4	4970
1	7	3694
2	9	3291
3	12	3061
4	14	2935
5	18	3057
6	21	2988
7	23	2880
8	25	2825
9	27	2755
10	29	2693
11	32	2656
12	36	2747
13	38	2704
14	40	2680
15	43	2646
16	45	2612
17	47	2585
18	51	2682
19	54	2658
20	55	2583
21	57	2560
22	59	2537
23	61	2517
24	64	2526
25	68	2554
26	70	2538
27	72	2521
28	74	2504
29	76	2487
30	79	2480
31	80	2444
32	84	2465
33	86	2457
34	88	2444
35	90	2432
36	92	2419
37	95	2409
38	99	2444
39	101	2444
40	104	2433
41	106	2422
42	108	2411
43	110	2403
44	114	2428
45	117	2430
46	119	2420
47	121	2409
48	123	2399
49	125	2392
50	128	2389
51	132	2414
52	135	2413
53	137	2404
54	139	2398
55	141	2390
56	144	2387
57	147	2402
58	150	2394
59	152	2386
60	154	2380
61	156	2372
62	158	2364
63	162	2372
64	164	2361
65	166	2355
66	168	2347
67	171	2344
68	173	2337
69	175	2330
70	178	2338
71	180	2332
72	183	2325
73	185	2320
74	187	2314
75	189	2307
76	192	2304
77	195	2305
78	197	2299
79	199	2293
80	201	2290
81	204	2284
82	206	2278
83	209	2283
84	212	2282
85	214	2277
86	216	2274
87	218	2268
88	221	2263
89	223	2259
90	226	2263
91	228	2258
92	231	2254
93	233	2249
94	235	2244
95	237	2238
96	240	2235
97	242	2235
98	245	2231
99	247	2228
100	249	2224
101	252	2219
102	254	2214
103	257	2216
104	260	2217
105	262	2215
106	265	2212
107	267	2207
108	269	2202
109	271	2197
110	274	2196
111	276	2191
112	278	2186
113	280	2181
114	282	2176
115	284	2171
116	287	2167
117	289	2164
118	291	2159
119	293	2154
120	295	2149
121	298	2145
122	300	2141
123	303	2142
124	305	2138
125	306	2127
126	308	2123
127	311	2118
128	313	2114
129	315	2110
130	318	2109
131	320	2106
132	322	2102
133	324	2098
134	326	2093
135	328	2089
136	331	2085
137	333	2083
138	335	2080
139	338	2076
140	340	2072
141	342	2068
142	344	2064
143	346	2060
144	348	2057
145	351	2057
146	353	2053
147	355	2048
148	358	2044
149	360	2042
150	362	2038
151	364	2035
152	367	2036
153	370	2033
154	372	2029
155	374	2026
156	376	2022
157	378	2018
158	381	2015
159	384	2020
160	387	2018
161	389	2017
162	392	2015
163	394	2013
164	397	2011
165	401	2016
166	404	2016
167	407	2017
168	410	2017
169	414	2024
170	417	2025
171	421	2027
172	424	2026
173	426	2024
174	429	2024
175	432	2024
176	434	2022
177	437	2018
178	439	2014
179	441	2011
180	443	2007
181	446	2005
182	448	2004
183	451	2001
184	453	1997
185	455	1994
186	457	1990
187	460	1987
188	463	1987
189	465	1985
190	467	1981
191	470	1978
192	472	1974
193	474	1971
194	476	1967
195	479	1966
196	481	1963
197	483	1960
198	486	1956
199	488	1952
200	490	1950
201	493	1947
202	496	1949
203	499	1947
204	501	1943
205	503	1940
206	505	1937
207	507	1933
208	510	1932
209	513	1931
210	515	1928
211	517	1924
212	519	1921
213	522	1918
214	524	1914
215	527	1914
216	529	1912
217	532	1909
218	534	1905
219	536	1903
220	538	1899
221	541	1896
222	544	1897
